Region,"aluminium production, primary, liquid, prebake","Anode, prebake, for aluminium electrolysis",Aluminium oxide,"Electricity, medium voltage"
CA-QC,1,-0.4286,-1.935,-15.111
CN,1,-0.428525894,-1.935090515,-14.36885045
IAI Area 1,1,-0.428525894,-1.935090515,-14.36885045
"IAI Area 2, without Quebec",1,-0.428525894,-1.935090515,-15.111
IAI Area 3,1,-0.428525894,-1.935090515,-14.36885045
IAI Area 4&5 without China,1,-0.428525894,-1.935090515,-14.36885045
IAI Area 8,1,-0.428525894,-1.935090515,-14.36885045
RoW,1,-0.428525894,-1.935090515,-14.36885045
UN-EUROPE,1,-0.428525894,-1.935090515,-14.36885045
UN-OCEANIA,1,-0.428525894,-1.935090515,-14.36885045
