"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"BEV100","Car",2016,"sales","HOP",2018,"vehicle",32592
"BEV300","Car",2016,"sales","HOP",2018,"vehicle",20959
"CNG","Car",2016,"sales","HOP",2018,"vehicle",37367
"FCV","Car",2016,"sales","HOP",2018,"vehicle",1751
"FFV","Car",2016,"sales","HOP",2018,"vehicle",429064
"HEV","Car",2016,"sales","HOP",2018,"vehicle",276995
"ICEV-D","Car",2016,"sales","HOP",2018,"vehicle",10355
"ICEV-G","Car",2016,"sales","HOP",2018,"vehicle",8115033
"PHEV20","Car",2016,"sales","HOP",2018,"vehicle",34012
"PHEV40","Car",2016,"sales","HOP",2018,"vehicle",26582
"BEV100","Light truck",2016,"sales","HOP",2018,"vehicle",5712
"BEV300","Light truck",2016,"sales","HOP",2018,"vehicle",4915
"CNG","Light truck",2016,"sales","HOP",2018,"vehicle",64051
"FCV","Light truck",2016,"sales","HOP",2018,"vehicle",1751
"FFV","Light truck",2016,"sales","HOP",2018,"vehicle",929603
"HEV","Light truck",2016,"sales","HOP",2018,"vehicle",57829
"ICEV-D","Light truck",2016,"sales","HOP",2018,"vehicle",25555
"ICEV-G","Light truck",2016,"sales","HOP",2018,"vehicle",6145806
"PHEV20","Light truck",2016,"sales","HOP",2018,"vehicle",17880
"PHEV40","Light truck",2016,"sales","HOP",2018,"vehicle",6791
"BEV100","Car",2017,"sales","HOP",2018,"vehicle",74758
"BEV300","Car",2017,"sales","HOP",2018,"vehicle",62042
"CNG","Car",2017,"sales","HOP",2018,"vehicle",36275
"FCV","Car",2017,"sales","HOP",2018,"vehicle",1732
"FFV","Car",2017,"sales","HOP",2018,"vehicle",358645
"HEV","Car",2017,"sales","HOP",2018,"vehicle",404969
"ICEV-D","Car",2017,"sales","HOP",2018,"vehicle",10483
"ICEV-G","Car",2017,"sales","HOP",2018,"vehicle",7398936
"PHEV20","Car",2017,"sales","HOP",2018,"vehicle",19176
"PHEV40","Car",2017,"sales","HOP",2018,"vehicle",44596
"BEV100","Light truck",2017,"sales","HOP",2018,"vehicle",5658
"BEV300","Light truck",2017,"sales","HOP",2018,"vehicle",5046
"CNG","Light truck",2017,"sales","HOP",2018,"vehicle",62666
"FCV","Light truck",2017,"sales","HOP",2018,"vehicle",1750
"FFV","Light truck",2017,"sales","HOP",2018,"vehicle",907989
"HEV","Light truck",2017,"sales","HOP",2018,"vehicle",105291
"ICEV-D","Light truck",2017,"sales","HOP",2018,"vehicle",132570
"ICEV-G","Light truck",2017,"sales","HOP",2018,"vehicle",5856166
"PHEV20","Light truck",2017,"sales","HOP",2018,"vehicle",30656
"PHEV40","Light truck",2017,"sales","HOP",2018,"vehicle",7414
"BEV100","Car",2018,"sales","HOP",2018,"vehicle",105288
"BEV300","Car",2018,"sales","HOP",2018,"vehicle",220812
"CNG","Car",2018,"sales","HOP",2018,"vehicle",27708
"FCV","Car",2018,"sales","HOP",2018,"vehicle",3055
"FFV","Car",2018,"sales","HOP",2018,"vehicle",368264
"HEV","Car",2018,"sales","HOP",2018,"vehicle",502470
